category,id,group,prompt,angle,distance,lighting,background,expression
models,f_cauz_50s_avg__015,f_cauz_50s_avg,"photorealistic photograph of a Central Asian woman in her early 50s, average build, deeper tan skin with visible fine lines, greying dark hair pulled back, a lined face and deep-set eyes, wearing a plain white t-shirt and dark grey trousers, full body, head to feet, near profile view, rim light from behind, blurred outdoor street, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",near profile view,full body,rim light from behind,blurred outdoor street,neutral
models,f_cauz_50s_avg__016,f_cauz_50s_avg,"photorealistic photograph of a Central Asian woman in her early 50s, average build, deeper tan skin with visible fine lines, greying dark hair pulled back, a lined face and deep-set eyes, wearing a plain black t-shirt and blue jeans, full body, head to feet, shot from slightly above eye level, soft diffused daylight, blurred plain interior, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",shot from slightly above eye level,full body,soft diffused daylight,blurred plain interior,neutral
models,f_cauz_50s_avg__017,f_cauz_50s_avg,"photorealistic photograph of a Central Asian woman in her early 50s, average build, deeper tan skin with visible fine lines, greying dark hair pulled back, a lined face and deep-set eyes, wearing a plain navy long-sleeve top and beige trousers, full body, head to feet, shot from slightly below eye level, hard directional sunlight, soft gradient backdrop, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",shot from slightly below eye level,full body,hard directional sunlight,soft gradient backdrop,neutral
models,f_cauz_50s_avg__018,f_cauz_50s_avg,"photorealistic photograph of a Central Asian woman in her early 50s, average build, deeper tan skin with visible fine lines, greying dark hair pulled back, a lined face and deep-set eyes, wearing a plain grey knit top and black trousers, full body, head to feet, front view, facing camera, strong side light, plain light grey studio backdrop, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",front view,full body,strong side light,plain light grey studio backdrop,neutral
models,f_cauz_50s_avg__019,f_cauz_50s_avg,"photorealistic photograph of a Central Asian woman in her early 50s, average build, deeper tan skin with visible fine lines, greying dark hair pulled back, a lined face and deep-set eyes, wearing a plain olive shirt and dark jeans, full body, head to feet, three-quarter view turned to the left, rim light from behind, warm beige wall, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",three-quarter view turned to the left,full body,rim light from behind,warm beige wall,neutral
models,f_cauz_50s_avg__020,f_cauz_50s_avg,"photorealistic photograph of a Central Asian woman in her early 50s, average build, deeper tan skin with visible fine lines, greying dark hair pulled back, a lined face and deep-set eyes, wearing a plain white t-shirt and dark grey trousers, full body, head to feet, three-quarter view turned to the right, soft diffused daylight, white seamless studio, a slight natural smile expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",three-quarter view turned to the right,full body,soft diffused daylight,white seamless studio,a slight natural smile
models,f_cauz_50s_avg__021,f_cauz_50s_avg,"photorealistic photograph of a Central Asian woman in her early 50s, average build, deeper tan skin with visible fine lines, greying dark hair pulled back, a lined face and deep-set eyes, wearing a plain black t-shirt and blue jeans, full body, head to feet, near profile view, hard directional sunlight, blurred outdoor street, a slight natural smile expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",near profile view,full body,hard directional sunlight,blurred outdoor street,a slight natural smile
models,f_cauz_50s_avg__022,f_cauz_50s_avg,"photorealistic photograph of a Central Asian woman in her early 50s, average build, deeper tan skin with visible fine lines, greying dark hair pulled back, a lined face and deep-set eyes, wearing a plain navy long-sleeve top and beige trousers, full body, head to feet, shot from slightly above eye level, strong side light, blurred plain interior, a slight natural smile expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",shot from slightly above eye level,full body,strong side light,blurred plain interior,a slight natural smile
models,f_cauz_50s_avg__023,f_cauz_50s_avg,"photorealistic photograph of a Central Asian woman in her early 50s, average build, deeper tan skin with visible fine lines, greying dark hair pulled back, a lined face and deep-set eyes, wearing a plain grey knit top and black trousers, full body, head to feet, shot from slightly below eye level, rim light from behind, soft gradient backdrop, a slight natural smile expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",shot from slightly below eye level,full body,rim light from behind,soft gradient backdrop,a slight natural smile
models,f_cauz_50s_avg__024,f_cauz_50s_avg,"photorealistic photograph of a Central Asian woman in her early 50s, average build, deeper tan skin with visible fine lines, greying dark hair pulled back, a lined face and deep-set eyes, wearing a plain olive shirt and dark jeans, full body, head to feet, front view, facing camera, soft diffused daylight, plain light grey studio backdrop, a slight natural smile expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",front view,full body,soft diffused daylight,plain light grey studio backdrop,a slight natural smile
models,f_cauz_50s_avg__025,f_cauz_50s_avg,"photorealistic photograph of a Central Asian woman in her early 50s, average build, deeper tan skin with visible fine lines, greying dark hair pulled back, a lined face and deep-set eyes, wearing a plain white t-shirt and dark grey trousers, full body, head to feet, three-quarter view turned to the left, hard directional sunlight, warm beige wall, a slight natural smile expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",three-quarter view turned to the left,full body,hard directional sunlight,warm beige wall,a slight natural smile
models,f_cauz_50s_avg__026,f_cauz_50s_avg,"photorealistic photograph of a Central Asian woman in her early 50s, average build, deeper tan skin with visible fine lines, greying dark hair pulled back, a lined face and deep-set eyes, wearing a plain black t-shirt and blue jeans, full body, head to feet, three-quarter view turned to the right, strong side light, white seamless studio, a slight natural smile expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",three-quarter view turned to the right,full body,strong side light,white seamless studio,a slight natural smile
models,f_cauz_50s_avg__027,f_cauz_50s_avg,"photorealistic photograph of a Central Asian woman in her early 50s, average build, deeper tan skin with visible fine lines, greying dark hair pulled back, a lined face and deep-set eyes, wearing a plain navy long-sleeve top and beige trousers, full body, head to feet, near profile view, rim light from behind, blurred outdoor street, a slight natural smile expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",near profile view,full body,rim light from behind,blurred outdoor street,a slight natural smile
models,f_cauz_50s_avg__028,f_cauz_50s_avg,"photorealistic photograph of a Central Asian woman in her early 50s, average build, deeper tan skin with visible fine lines, greying dark hair pulled back, a lined face and deep-set eyes, wearing a plain grey knit top and black trousers, full body, head to feet, shot from slightly above eye level, soft diffused daylight, blurred plain interior, a slight natural smile expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",shot from slightly above eye level,full body,soft diffused daylight,blurred plain interior,a slight natural smile
models,f_cauz_50s_avg__029,f_cauz_50s_avg,"photorealistic photograph of a Central Asian woman in her early 50s, average build, deeper tan skin with visible fine lines, greying dark hair pulled back, a lined face and deep-set eyes, wearing a plain olive shirt and dark jeans, full body, head to feet, shot from slightly below eye level, hard directional sunlight, soft gradient backdrop, a slight natural smile expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",shot from slightly below eye level,full body,hard directional sunlight,soft gradient backdrop,a slight natural smile
models,f_cauz_20s_hijab__000,f_cauz_20s_hijab,"photorealistic photograph of a Central Asian woman in her mid 20s, average build, fair olive skin, hair fully covered by the headscarf, large dark almond eyes and thin brows, wearing a plain long-sleeve beige tunic and wide dark trousers with a matching headscarf, headshot, front view, facing camera, soft diffused daylight, plain light grey studio backdrop, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",front view,headshot,soft diffused daylight,plain light grey studio backdrop,neutral
models,f_cauz_20s_hijab__001,f_cauz_20s_hijab,"photorealistic photograph of a Central Asian woman in her mid 20s, average build, fair olive skin, hair fully covered by the headscarf, large dark almond eyes and thin brows, wearing a plain navy long dress with long sleeves and a matching headscarf, headshot, three-quarter view turned to the left, hard directional sunlight, warm beige wall, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",three-quarter view turned to the left,headshot,hard directional sunlight,warm beige wall,neutral
models,f_cauz_20s_hijab__002,f_cauz_20s_hijab,"photorealistic photograph of a Central Asian woman in her mid 20s, average build, fair olive skin, hair fully covered by the headscarf, large dark almond eyes and thin brows, wearing a plain grey long-sleeve top and long black skirt with a matching headscarf, headshot, three-quarter view turned to the right, strong side light, white seamless studio, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",three-quarter view turned to the right,headshot,strong side light,white seamless studio,neutral
models,f_cauz_20s_hijab__003,f_cauz_20s_hijab,"photorealistic photograph of a Central Asian woman in her mid 20s, average build, fair olive skin, hair fully covered by the headscarf, large dark almond eyes and thin brows, wearing a plain olive long tunic and loose trousers with a matching headscarf, headshot, near profile view, rim light from behind, blurred outdoor street, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",near profile view,headshot,rim light from behind,blurred outdoor street,neutral
models,f_cauz_20s_hijab__004,f_cauz_20s_hijab,"photorealistic photograph of a Central Asian woman in her mid 20s, average build, fair olive skin, hair fully covered by the headscarf, large dark almond eyes and thin brows, wearing a plain white long-sleeve blouse and long navy skirt with a matching headscarf, half body, from the waist up, shot from slightly above eye level, soft diffused daylight, blurred plain interior, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",shot from slightly above eye level,half body,soft diffused daylight,blurred plain interior,neutral
models,f_cauz_20s_hijab__005,f_cauz_20s_hijab,"photorealistic photograph of a Central Asian woman in her mid 20s, average build, fair olive skin, hair fully covered by the headscarf, large dark almond eyes and thin brows, wearing a plain long-sleeve beige tunic and wide dark trousers with a matching headscarf, half body, from the waist up, shot from slightly below eye level, hard directional sunlight, soft gradient backdrop, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",shot from slightly below eye level,half body,hard directional sunlight,soft gradient backdrop,neutral
models,f_cauz_20s_hijab__006,f_cauz_20s_hijab,"photorealistic photograph of a Central Asian woman in her mid 20s, average build, fair olive skin, hair fully covered by the headscarf, large dark almond eyes and thin brows, wearing a plain navy long dress with long sleeves and a matching headscarf, half body, from the waist up, front view, facing camera, strong side light, plain light grey studio backdrop, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",front view,half body,strong side light,plain light grey studio backdrop,neutral
models,f_cauz_20s_hijab__007,f_cauz_20s_hijab,"photorealistic photograph of a Central Asian woman in her mid 20s, average build, fair olive skin, hair fully covered by the headscarf, large dark almond eyes and thin brows, wearing a plain grey long-sleeve top and long black skirt with a matching headscarf, half body, from the waist up, three-quarter view turned to the left, rim light from behind, warm beige wall, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",three-quarter view turned to the left,half body,rim light from behind,warm beige wall,neutral
models,f_cauz_20s_hijab__008,f_cauz_20s_hijab,"photorealistic photograph of a Central Asian woman in her mid 20s, average build, fair olive skin, hair fully covered by the headscarf, large dark almond eyes and thin brows, wearing a plain olive long tunic and loose trousers with a matching headscarf, half body, from the waist up, three-quarter view turned to the right, soft diffused daylight, white seamless studio, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",three-quarter view turned to the right,half body,soft diffused daylight,white seamless studio,neutral
models,f_cauz_20s_hijab__009,f_cauz_20s_hijab,"photorealistic photograph of a Central Asian woman in her mid 20s, average build, fair olive skin, hair fully covered by the headscarf, large dark almond eyes and thin brows, wearing a plain white long-sleeve blouse and long navy skirt with a matching headscarf, half body, from the waist up, near profile view, hard directional sunlight, blurred outdoor street, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",near profile view,half body,hard directional sunlight,blurred outdoor street,neutral
models,f_cauz_20s_hijab__010,f_cauz_20s_hijab,"photorealistic photograph of a Central Asian woman in her mid 20s, average build, fair olive skin, hair fully covered by the headscarf, large dark almond eyes and thin brows, wearing a plain long-sleeve beige tunic and wide dark trousers with a matching headscarf, half body, from the waist up, shot from slightly above eye level, strong side light, blurred plain interior, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",shot from slightly above eye level,half body,strong side light,blurred plain interior,neutral
models,f_cauz_20s_hijab__011,f_cauz_20s_hijab,"photorealistic photograph of a Central Asian woman in her mid 20s, average build, fair olive skin, hair fully covered by the headscarf, large dark almond eyes and thin brows, wearing a plain navy long dress with long sleeves and a matching headscarf, half body, from the waist up, shot from slightly below eye level, rim light from behind, soft gradient backdrop, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",shot from slightly below eye level,half body,rim light from behind,soft gradient backdrop,neutral
models,f_cauz_20s_hijab__012,f_cauz_20s_hijab,"photorealistic photograph of a Central Asian woman in her mid 20s, average build, fair olive skin, hair fully covered by the headscarf, large dark almond eyes and thin brows, wearing a plain grey long-sleeve top and long black skirt with a matching headscarf, half body, from the waist up, front view, facing camera, soft diffused daylight, plain light grey studio backdrop, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",front view,half body,soft diffused daylight,plain light grey studio backdrop,neutral
models,f_cauz_20s_hijab__013,f_cauz_20s_hijab,"photorealistic photograph of a Central Asian woman in her mid 20s, average build, fair olive skin, hair fully covered by the headscarf, large dark almond eyes and thin brows, wearing a plain olive long tunic and loose trousers with a matching headscarf, full body, head to feet, three-quarter view turned to the left, hard directional sunlight, warm beige wall, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",three-quarter view turned to the left,full body,hard directional sunlight,warm beige wall,neutral
models,f_cauz_20s_hijab__014,f_cauz_20s_hijab,"photorealistic photograph of a Central Asian woman in her mid 20s, average build, fair olive skin, hair fully covered by the headscarf, large dark almond eyes and thin brows, wearing a plain white long-sleeve blouse and long navy skirt with a matching headscarf, full body, head to feet, three-quarter view turned to the right, strong side light, white seamless studio, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",three-quarter view turned to the right,full body,strong side light,white seamless studio,neutral
models,f_cauz_20s_hijab__015,f_cauz_20s_hijab,"photorealistic photograph of a Central Asian woman in her mid 20s, average build, fair olive skin, hair fully covered by the headscarf, large dark almond eyes and thin brows, wearing a plain long-sleeve beige tunic and wide dark trousers with a matching headscarf, full body, head to feet, near profile view, rim light from behind, blurred outdoor street, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",near profile view,full body,rim light from behind,blurred outdoor street,neutral
models,f_cauz_20s_hijab__016,f_cauz_20s_hijab,"photorealistic photograph of a Central Asian woman in her mid 20s, average build, fair olive skin, hair fully covered by the headscarf, large dark almond eyes and thin brows, wearing a plain navy long dress with long sleeves and a matching headscarf, full body, head to feet, shot from slightly above eye level, soft diffused daylight, blurred plain interior, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",shot from slightly above eye level,full body,soft diffused daylight,blurred plain interior,neutral
models,f_cauz_20s_hijab__017,f_cauz_20s_hijab,"photorealistic photograph of a Central Asian woman in her mid 20s, average build, fair olive skin, hair fully covered by the headscarf, large dark almond eyes and thin brows, wearing a plain grey long-sleeve top and long black skirt with a matching headscarf, full body, head to feet, shot from slightly below eye level, hard directional sunlight, soft gradient backdrop, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",shot from slightly below eye level,full body,hard directional sunlight,soft gradient backdrop,neutral
models,f_cauz_20s_hijab__018,f_cauz_20s_hijab,"photorealistic photograph of a Central Asian woman in her mid 20s, average build, fair olive skin, hair fully covered by the headscarf, large dark almond eyes and thin brows, wearing a plain olive long tunic and loose trousers with a matching headscarf, full body, head to feet, front view, facing camera, strong side light, plain light grey studio backdrop, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",front view,full body,strong side light,plain light grey studio backdrop,neutral
models,f_cauz_20s_hijab__019,f_cauz_20s_hijab,"photorealistic photograph of a Central Asian woman in her mid 20s, average build, fair olive skin, hair fully covered by the headscarf, large dark almond eyes and thin brows, wearing a plain white long-sleeve blouse and long navy skirt with a matching headscarf, full body, head to feet, three-quarter view turned to the left, rim light from behind, warm beige wall, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",three-quarter view turned to the left,full body,rim light from behind,warm beige wall,neutral
models,f_cauz_20s_hijab__020,f_cauz_20s_hijab,"photorealistic photograph of a Central Asian woman in her mid 20s, average build, fair olive skin, hair fully covered by the headscarf, large dark almond eyes and thin brows, wearing a plain long-sleeve beige tunic and wide dark trousers with a matching headscarf, full body, head to feet, three-quarter view turned to the right, soft diffused daylight, white seamless studio, a slight natural smile expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",three-quarter view turned to the right,full body,soft diffused daylight,white seamless studio,a slight natural smile
models,f_cauz_20s_hijab__021,f_cauz_20s_hijab,"photorealistic photograph of a Central Asian woman in her mid 20s, average build, fair olive skin, hair fully covered by the headscarf, large dark almond eyes and thin brows, wearing a plain navy long dress with long sleeves and a matching headscarf, full body, head to feet, near profile view, hard directional sunlight, blurred outdoor street, a slight natural smile expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",near profile view,full body,hard directional sunlight,blurred outdoor street,a slight natural smile
models,f_cauz_20s_hijab__022,f_cauz_20s_hijab,"photorealistic photograph of a Central Asian woman in her mid 20s, average build, fair olive skin, hair fully covered by the headscarf, large dark almond eyes and thin brows, wearing a plain grey long-sleeve top and long black skirt with a matching headscarf, full body, head to feet, shot from slightly above eye level, strong side light, blurred plain interior, a slight natural smile expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",shot from slightly above eye level,full body,strong side light,blurred plain interior,a slight natural smile
models,f_cauz_20s_hijab__023,f_cauz_20s_hijab,"photorealistic photograph of a Central Asian woman in her mid 20s, average build, fair olive skin, hair fully covered by the headscarf, large dark almond eyes and thin brows, wearing a plain olive long tunic and loose trousers with a matching headscarf, full body, head to feet, shot from slightly below eye level, rim light from behind, soft gradient backdrop, a slight natural smile expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",shot from slightly below eye level,full body,rim light from behind,soft gradient backdrop,a slight natural smile
models,f_cauz_20s_hijab__024,f_cauz_20s_hijab,"photorealistic photograph of a Central Asian woman in her mid 20s, average build, fair olive skin, hair fully covered by the headscarf, large dark almond eyes and thin brows, wearing a plain white long-sleeve blouse and long navy skirt with a matching headscarf, full body, head to feet, front view, facing camera, soft diffused daylight, plain light grey studio backdrop, a slight natural smile expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",front view,full body,soft diffused daylight,plain light grey studio backdrop,a slight natural smile
models,f_cauz_20s_hijab__025,f_cauz_20s_hijab,"photorealistic photograph of a Central Asian woman in her mid 20s, average build, fair olive skin, hair fully covered by the headscarf, large dark almond eyes and thin brows, wearing a plain long-sleeve beige tunic and wide dark trousers with a matching headscarf, full body, head to feet, three-quarter view turned to the left, hard directional sunlight, warm beige wall, a slight natural smile expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",three-quarter view turned to the left,full body,hard directional sunlight,warm beige wall,a slight natural smile
models,f_cauz_20s_hijab__026,f_cauz_20s_hijab,"photorealistic photograph of a Central Asian woman in her mid 20s, average build, fair olive skin, hair fully covered by the headscarf, large dark almond eyes and thin brows, wearing a plain navy long dress with long sleeves and a matching headscarf, full body, head to feet, three-quarter view turned to the right, strong side light, white seamless studio, a slight natural smile expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",three-quarter view turned to the right,full body,strong side light,white seamless studio,a slight natural smile
models,f_cauz_20s_hijab__027,f_cauz_20s_hijab,"photorealistic photograph of a Central Asian woman in her mid 20s, average build, fair olive skin, hair fully covered by the headscarf, large dark almond eyes and thin brows, wearing a plain grey long-sleeve top and long black skirt with a matching headscarf, full body, head to feet, near profile view, rim light from behind, blurred outdoor street, a slight natural smile expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",near profile view,full body,rim light from behind,blurred outdoor street,a slight natural smile
models,f_cauz_20s_hijab__028,f_cauz_20s_hijab,"photorealistic photograph of a Central Asian woman in her mid 20s, average build, fair olive skin, hair fully covered by the headscarf, large dark almond eyes and thin brows, wearing a plain olive long tunic and loose trousers with a matching headscarf, full body, head to feet, shot from slightly above eye level, soft diffused daylight, blurred plain interior, a slight natural smile expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",shot from slightly above eye level,full body,soft diffused daylight,blurred plain interior,a slight natural smile
models,f_cauz_20s_hijab__029,f_cauz_20s_hijab,"photorealistic photograph of a Central Asian woman in her mid 20s, average build, fair olive skin, hair fully covered by the headscarf, large dark almond eyes and thin brows, wearing a plain white long-sleeve blouse and long navy skirt with a matching headscarf, full body, head to feet, shot from slightly below eye level, hard directional sunlight, soft gradient backdrop, a slight natural smile expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",shot from slightly below eye level,full body,hard directional sunlight,soft gradient backdrop,a slight natural smile
models,f_cauz_40s_hijab__000,f_cauz_40s_hijab,"photorealistic photograph of a Central Asian woman in her late 30s, average build, warm brown skin, hair fully covered by the headscarf, a broad face and a wide smile line, wearing a plain long-sleeve beige tunic and wide dark trousers with a matching headscarf, headshot, front view, facing camera, soft diffused daylight, plain light grey studio backdrop, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",front view,headshot,soft diffused daylight,plain light grey studio backdrop,neutral
models,f_cauz_40s_hijab__001,f_cauz_40s_hijab,"photorealistic photograph of a Central Asian woman in her late 30s, average build, warm brown skin, hair fully covered by the headscarf, a broad face and a wide smile line, wearing a plain navy long dress with long sleeves and a matching headscarf, headshot, three-quarter view turned to the left, hard directional sunlight, warm beige wall, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",three-quarter view turned to the left,headshot,hard directional sunlight,warm beige wall,neutral
models,f_cauz_40s_hijab__002,f_cauz_40s_hijab,"photorealistic photograph of a Central Asian woman in her late 30s, average build, warm brown skin, hair fully covered by the headscarf, a broad face and a wide smile line, wearing a plain grey long-sleeve top and long black skirt with a matching headscarf, headshot, three-quarter view turned to the right, strong side light, white seamless studio, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",three-quarter view turned to the right,headshot,strong side light,white seamless studio,neutral
models,f_cauz_40s_hijab__003,f_cauz_40s_hijab,"photorealistic photograph of a Central Asian woman in her late 30s, average build, warm brown skin, hair fully covered by the headscarf, a broad face and a wide smile line, wearing a plain olive long tunic and loose trousers with a matching headscarf, headshot, near profile view, rim light from behind, blurred outdoor street, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",near profile view,headshot,rim light from behind,blurred outdoor street,neutral
models,f_cauz_40s_hijab__004,f_cauz_40s_hijab,"photorealistic photograph of a Central Asian woman in her late 30s, average build, warm brown skin, hair fully covered by the headscarf, a broad face and a wide smile line, wearing a plain white long-sleeve blouse and long navy skirt with a matching headscarf, half body, from the waist up, shot from slightly above eye level, soft diffused daylight, blurred plain interior, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",shot from slightly above eye level,half body,soft diffused daylight,blurred plain interior,neutral
models,f_cauz_40s_hijab__005,f_cauz_40s_hijab,"photorealistic photograph of a Central Asian woman in her late 30s, average build, warm brown skin, hair fully covered by the headscarf, a broad face and a wide smile line, wearing a plain long-sleeve beige tunic and wide dark trousers with a matching headscarf, half body, from the waist up, shot from slightly below eye level, hard directional sunlight, soft gradient backdrop, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",shot from slightly below eye level,half body,hard directional sunlight,soft gradient backdrop,neutral
models,f_cauz_40s_hijab__006,f_cauz_40s_hijab,"photorealistic photograph of a Central Asian woman in her late 30s, average build, warm brown skin, hair fully covered by the headscarf, a broad face and a wide smile line, wearing a plain navy long dress with long sleeves and a matching headscarf, half body, from the waist up, front view, facing camera, strong side light, plain light grey studio backdrop, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",front view,half body,strong side light,plain light grey studio backdrop,neutral
models,f_cauz_40s_hijab__007,f_cauz_40s_hijab,"photorealistic photograph of a Central Asian woman in her late 30s, average build, warm brown skin, hair fully covered by the headscarf, a broad face and a wide smile line, wearing a plain grey long-sleeve top and long black skirt with a matching headscarf, half body, from the waist up, three-quarter view turned to the left, rim light from behind, warm beige wall, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",three-quarter view turned to the left,half body,rim light from behind,warm beige wall,neutral
models,f_cauz_40s_hijab__008,f_cauz_40s_hijab,"photorealistic photograph of a Central Asian woman in her late 30s, average build, warm brown skin, hair fully covered by the headscarf, a broad face and a wide smile line, wearing a plain olive long tunic and loose trousers with a matching headscarf, half body, from the waist up, three-quarter view turned to the right, soft diffused daylight, white seamless studio, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",three-quarter view turned to the right,half body,soft diffused daylight,white seamless studio,neutral
models,f_cauz_40s_hijab__009,f_cauz_40s_hijab,"photorealistic photograph of a Central Asian woman in her late 30s, average build, warm brown skin, hair fully covered by the headscarf, a broad face and a wide smile line, wearing a plain white long-sleeve blouse and long navy skirt with a matching headscarf, half body, from the waist up, near profile view, hard directional sunlight, blurred outdoor street, neutral expression, natural skin texture, visible pores and fine skin detail, realistic fabric drape, shot on 85mm lens, shallow depth of field, photorealistic, unretouched",near profile view,half body,hard directional sunlight,blurred outdoor street,neutral
